iter	MultiClass
0	-0.9098511719
1	-0.8099212998
2	-0.7460837537
3	-0.7091346406
4	-0.6839161291
5	-0.6587379691
6	-0.6389608737
7	-0.6231676401
8	-0.6150992272
9	-0.6038700904
10	-0.59658985
11	-0.5922836512
12	-0.5872490468
13	-0.5842308575
14	-0.579931199
15	-0.575835588
16	-0.5730975271
17	-0.5704280425
18	-0.5654239
19	-0.5618515344
20	-0.5607514731
21	-0.5591357292
22	-0.5572472157
23	-0.554899206
24	-0.5530118349
25	-0.5518181858
26	-0.5501840207
27	-0.5483729727
28	-0.5453482854
29	-0.5439470864
30	-0.5427306259
31	-0.5396701238
32	-0.5377844046
33	-0.5345871988
34	-0.5343285046
35	-0.5323179956
36	-0.5306816473
37	-0.5283832462
38	-0.5256353252
39	-0.523470379
40	-0.520682485
41	-0.5178808111
42	-0.5160087354
43	-0.5149851434
44	-0.5132400119
45	-0.5124401282
46	-0.5109057686
47	-0.5073602765
48	-0.5050919941
49	-0.5031437131
50	-0.5019278432
51	-0.5011486995
52	-0.4989378511
53	-0.4982096058
54	-0.4961628758
55	-0.4948201321
56	-0.491913585
57	-0.4899362342
58	-0.4892570883
59	-0.4887686106
60	-0.4868087831
61	-0.4861034157
62	-0.4850521743
63	-0.4836518543
64	-0.4822737221
65	-0.4814125638
66	-0.4798604505
67	-0.4789613663
68	-0.4778475993
69	-0.4769870895
70	-0.4760213406
71	-0.4746084993
72	-0.473934773
73	-0.4718837254
74	-0.4703835904
75	-0.4693766859
76	-0.4680942728
77	-0.4672134568
78	-0.4666110317
79	-0.4658443456
80	-0.4652125367
81	-0.4627132969
82	-0.4602399752
83	-0.459442868
84	-0.4582478202
85	-0.4575331031
86	-0.4567253627
87	-0.4558952284
88	-0.4550617228
89	-0.4543365592
90	-0.4532872403
91	-0.4526366047
92	-0.4517845199
93	-0.4505646608
94	-0.4497121476
95	-0.4490741122
96	-0.4480437096
97	-0.4475326771
98	-0.4462655015
99	-0.4452997795
100	-0.4446742799
101	-0.4439626758
102	-0.4432409604
103	-0.4426980865
104	-0.4421118651
105	-0.4416733171
106	-0.441258441
107	-0.4406536036
108	-0.4403701302
109	-0.4396336034
110	-0.4386977856
111	-0.4376937981
112	-0.4373786284
113	-0.4360874914
114	-0.4356637994
115	-0.4351087697
116	-0.4342345617
117	-0.4337889562
118	-0.4331089262
119	-0.4321838517
120	-0.4314607419
121	-0.4305355309
122	-0.4297143731
123	-0.4289607957
124	-0.428075986
125	-0.4275978923
126	-0.4271710962
127	-0.4264419227
128	-0.4256252374
129	-0.4247638705
130	-0.4240770545
131	-0.4235432748
132	-0.4231312262
133	-0.4227757515
134	-0.4222852395
135	-0.4220094337
136	-0.4209431455
137	-0.4207394442
138	-0.419477356
139	-0.4186710322
140	-0.4179468794
141	-0.4172927233
142	-0.4166693031
143	-0.4155871219
144	-0.4151040881
145	-0.4147954418
146	-0.4140494605
147	-0.4135796882
148	-0.4129932922
149	-0.4122824194
150	-0.4117790646
151	-0.4112799956
152	-0.4101041423
153	-0.409704875
154	-0.4085271612
155	-0.4081930747
156	-0.4078984141
157	-0.406677078
158	-0.4059211338
159	-0.4055500244
160	-0.4050790961
161	-0.4049014064
162	-0.4044435632
163	-0.4036207775
164	-0.402634577
165	-0.4015598177
166	-0.4012186593
167	-0.4005620824
168	-0.3996339555
169	-0.3993471342
170	-0.3983971567
171	-0.3979821128
172	-0.3975654858
173	-0.3973421595
174	-0.3972415558
175	-0.396567072
176	-0.396086415
177	-0.3958005476
178	-0.3955276482
179	-0.3945213558
180	-0.3939844479
181	-0.3933237095
182	-0.3919698359
183	-0.3916910614
184	-0.3912593786
185	-0.3905815496
186	-0.3903732344
187	-0.3896559132
188	-0.3887762563
189	-0.388506001
190	-0.3883465338
191	-0.3879458545
192	-0.3873228076
193	-0.3863054951
194	-0.3856509321
195	-0.3848328152
196	-0.3846054107
197	-0.3840216907
198	-0.3838384775
199	-0.3833622037
