iter	Logloss
0	0.6527833185
1	0.6321314787
2	0.6222707706
3	0.6156126382
4	0.612016065
5	0.6102113545
6	0.6082187579
7	0.6067414924
8	0.6058464158
9	0.6048614375
10	0.6038649687
11	0.6032834993
12	0.6025505301
13	0.6016786374
14	0.6012095264
15	0.6005836701
16	0.6001419968
17	0.5997357451
18	0.5995937405
19	0.5992097807
20	0.5989110362
21	0.5986740243
22	0.5981551895
23	0.5977418371
24	0.5973026572
25	0.5967536279
26	0.596453936
27	0.5961741093
28	0.595799964
29	0.5956709122
30	0.5952653513
31	0.5950180858
32	0.5946637246
33	0.5946622407
34	0.5944326301
35	0.5942320485
36	0.5939372346
37	0.5935162037
38	0.593377749
39	0.5928922849
40	0.5925576306
41	0.5920826772
42	0.5916475535
43	0.5913285949
44	0.5905956759
45	0.5901891568
46	0.5898236823
47	0.5894589902
48	0.5890916503
49	0.5887726697
50	0.588505185
51	0.5882699533
52	0.587873879
53	0.5875464007
54	0.587217182
55	0.5870410463
56	0.5868434698
57	0.5866181362
58	0.5863012127
59	0.586049755
60	0.5860127251
61	0.5856130519
62	0.5851678014
63	0.5848984033
64	0.5846735237
65	0.5843641765
66	0.584113763
67	0.5839128734
68	0.5837097077
69	0.5834105441
70	0.5830600845
71	0.5828101922
72	0.5824575641
73	0.5822635907
74	0.5821547804
75	0.5819254831
76	0.58151508
77	0.5814775583
78	0.5814773909
79	0.5813474549
80	0.5811861597
81	0.581057924
82	0.5808626308
83	0.5806640801
84	0.5803647543
85	0.580218491
86	0.5801309974
87	0.5800422979
88	0.5799337845
89	0.5797199349
90	0.5795689338
91	0.5793653978
92	0.5793131286
93	0.5792116944
94	0.5790087343
95	0.5787071112
96	0.5782526434
97	0.5779870185
98	0.5779219334
99	0.5778007411
