iter	Passed	Remaining
0	179	17754
1	287	14101
2	415	13433
3	527	12656
4	631	12007
5	744	11661
6	853	11339
7	985	11332
8	1117	11303
9	1270	11433
10	1391	11257
11	1529	11212
12	1671	11184
13	1802	11074
14	1935	10969
15	2057	10802
16	2196	10724
17	2334	10633
18	2388	10182
19	2519	10077
20	2622	9866
21	2719	9640
22	2828	9468
23	2936	9298
24	3038	9116
25	3170	9022
26	3307	8943
27	3444	8856
28	3573	8748
29	3691	8612
30	3826	8516
31	3959	8414
32	4111	8348
33	4176	8107
34	4293	7972
35	4410	7840
36	4514	7686
37	4608	7518
38	4730	7399
39	4912	7369
40	5039	7251
41	5168	7137
42	5286	7007
43	5428	6908
44	5577	6816
45	5685	6674
46	5797	6538
47	5910	6403
48	6029	6275
49	6147	6147
50	6258	6012
51	6358	5869
52	6464	5732
53	6565	5592
54	6668	5455
55	6763	5314
56	6866	5179
57	6980	5055
58	7097	4932
59	7184	4789
60	7278	4653
61	7392	4530
62	7507	4409
63	7618	4285
64	7724	4159
65	7837	4037
66	7957	3919
67	8085	3805
68	8220	3693
69	8354	3580
70	8463	3456
71	8574	3334
72	8683	3211
73	8797	3091
74	8910	2970
75	9023	2849
76	9127	2726
77	9220	2600
78	9255	2460
79	9352	2338
80	9443	2215
81	9538	2093
82	9664	1979
83	9790	1864
84	9893	1745
85	10008	1629
86	10125	1513
87	10225	1394
88	10319	1275
89	10399	1155
90	10488	1037
91	10591	921
92	10686	804
93	10794	689
94	10894	573
95	11019	459
96	11165	345
97	11294	230
98	11408	115
99	11537	0
