,country,lat,long,outcome,date,value
0,Guinea,9.93543,-9.695052,cases,2014-08-29,623
1,Guinea,9.93543,-9.695052,cases,2014-09-05,756
2,Guinea,9.93543,-9.695052,cases,2014-09-08,815
3,Guinea,9.93543,-9.695052,cases,2014-09-12,829
4,Guinea,9.93543,-9.695052,cases,2014-09-16,905
5,Guinea,9.93543,-9.695052,cases,2014-09-18,912
6,Guinea,9.93543,-9.695052,cases,2014-09-22,980
7,Guinea,9.93543,-9.695052,cases,2014-09-24,994
8,Guinea,9.93543,-9.695052,cases,2014-09-26,1038
9,Guinea,9.93543,-9.695052,cases,2014-10-01,1120
10,Guinea,9.93543,-9.695052,cases,2014-10-03,1154
11,Guinea,9.93543,-9.695052,cases,2014-10-08,1224
12,Guinea,9.93543,-9.695052,cases,2014-10-10,1277
13,Guinea,9.93543,-9.695052,cases,2014-10-15,1374
14,Guinea,9.93543,-9.695052,cases,2014-10-17,1408
15,Guinea,9.93543,-9.695052,cases,2014-10-22,1482
16,Guinea,9.93543,-9.695052,cases,2014-10-25,1506
17,Guinea,9.93543,-9.695052,cases,2014-10-29,1590
18,Guinea,9.93543,-9.695052,cases,2014-10-31,1613
19,Guinea,9.93543,-9.695052,cases,2014-11-05,1661
20,Guinea,9.93543,-9.695052,cases,2014-11-07,1683
21,Guinea,9.93543,-9.695052,cases,2014-11-12,1820
22,Guinea,9.93543,-9.695052,cases,2014-11-14,1855
23,Guinea,9.93543,-9.695052,cases,2014-11-19,1908
24,Guinea,9.93543,-9.695052,cases,2014-11-21,1961
25,Guinea,9.93543,-9.695052,cases,2014-11-26,2060
26,Guinea,9.93543,-9.695052,cases,2014-12-01,2131
27,Guinea,9.93543,-9.695052,cases,2014-12-03,2139
28,Guinea,9.93543,-9.695052,cases,2014-12-10,2272
29,Guinea,9.93543,-9.695052,cases,2014-12-15,2378
30,Guinea,9.93543,-9.695052,cases,2014-12-17,2390
31,Guinea,9.93543,-9.695052,cases,2014-12-22,2522
32,Guinea,9.93543,-9.695052,cases,2014-12-23,2547
33,Guinea,9.93543,-9.695052,cases,2014-12-24,2547
34,Guinea,9.93543,-9.695052,cases,2014-12-26,2611
35,Guinea,9.93543,-9.695052,cases,2014-12-29,2659
36,Guinea,9.93543,-9.695052,cases,2014-12-30,2672
37,Guinea,9.93543,-9.695052,cases,2014-12-31,2673
38,Guinea,9.93543,-9.695052,cases,2015-01-02,2711
39,Guinea,9.93543,-9.695052,cases,2015-01-05,2745
40,Guinea,9.93543,-9.695052,cases,2015-01-06,2753
41,Guinea,9.93543,-9.695052,cases,2015-01-07,2753
42,Guinea,9.93543,-9.695052,cases,2015-01-08,2759
43,Guinea,9.93543,-9.695052,cases,2015-01-09,2775
44,Guinea,9.93543,-9.695052,cases,2015-01-12,2792
45,Guinea,9.93543,-9.695052,cases,2015-01-13,2792
46,Guinea,9.93543,-9.695052,cases,2015-01-14,2798
47,Guinea,9.93543,-9.695052,cases,2015-01-15,2806
48,Guinea,9.93543,-9.695052,cases,2015-01-16,2813
49,Guinea,9.93543,-9.695052,cases,2015-01-19,2858
50,Guinea,9.93543,-9.695052,cases,2015-01-20,2858
51,Guinea,9.93543,-9.695052,cases,2015-01-21,2858
52,Guinea,9.93543,-9.695052,cases,2015-01-22,2861
53,Guinea,9.93543,-9.695052,cases,2015-01-23,2864
54,Guinea,9.93543,-9.695052,cases,2015-01-26,2891
55,Guinea,9.93543,-9.695052,cases,2015-01-27,2901
56,Guinea,9.93543,-9.695052,cases,2015-01-28,2901
57,Guinea,9.93543,-9.695052,cases,2015-01-29,2903
58,Guinea,9.93543,-9.695052,cases,2015-01-30,2907
59,Guinea,9.93543,-9.695052,cases,2015-02-02,2935
60,Guinea,9.93543,-9.695052,cases,2015-02-03,2955
61,Guinea,9.93543,-9.695052,cases,2015-02-04,2955
62,Guinea,9.93543,-9.695052,cases,2015-02-05,2968
63,Guinea,9.93543,-9.695052,cases,2015-02-06,2977
64,Guinea,9.93543,-9.695052,cases,2015-02-10,3026
65,Guinea,9.93543,-9.695052,cases,2015-02-11,3026
66,Guinea,9.93543,-9.695052,cases,2015-02-12,3052
67,Guinea,9.93543,-9.695052,cases,2015-02-13,3066
68,Guinea,9.93543,-9.695052,cases,2015-02-16,3094
69,Guinea,9.93543,-9.695052,cases,2015-02-17,3101
70,Guinea,9.93543,-9.695052,cases,2015-02-18,3101
71,Guinea,9.93543,-9.695052,cases,2015-02-19,3113
72,Guinea,9.93543,-9.695052,cases,2015-02-20,3118
73,Guinea,9.93543,-9.695052,cases,2015-02-23,3145
74,Guinea,9.93543,-9.695052,cases,2015-02-25,3149
75,Guinea,9.93543,-9.695052,cases,2015-02-26,3168
76,Guinea,9.93543,-9.695052,cases,2015-02-27,3182
77,Guinea,9.93543,-9.695052,cases,2015-03-02,3200
78,Guinea,9.93543,-9.695052,cases,2015-03-04,3200
79,Guinea,9.93543,-9.695052,cases,2015-03-05,3225
80,Guinea,9.93543,-9.695052,cases,2015-03-06,3232
81,Guinea,9.93543,-9.695052,cases,2015-03-10,3263
82,Guinea,9.93543,-9.695052,cases,2015-03-11,3263
83,Guinea,9.93543,-9.695052,cases,2015-03-12,3296
84,Guinea,9.93543,-9.695052,cases,2015-03-13,3306
85,Guinea,9.93543,-9.695052,cases,2015-03-16,3352
86,Guinea,9.93543,-9.695052,cases,2015-03-17,3361
87,Guinea,9.93543,-9.695052,cases,2015-03-18,3361
88,Guinea,9.93543,-9.695052,cases,2015-03-20,3383
89,Guinea,9.93543,-9.695052,cases,2015-03-23,3405
90,Guinea,9.93543,-9.695052,cases,2015-03-24,3409
91,Guinea,9.93543,-9.695052,cases,2015-03-25,3409
92,Guinea,9.93543,-9.695052,cases,2015-03-26,3430
93,Guinea,9.93543,-9.695052,cases,2015-03-27,3440
94,Guinea,9.93543,-9.695052,cases,2015-04-07,3503
95,Guinea,9.93543,-9.695052,cases,2015-04-09,3507
96,Guinea,9.93543,-9.695052,cases,2015-04-13,3526
97,Guinea,9.93543,-9.695052,cases,2015-04-14,3531
98,Guinea,9.93543,-9.695052,cases,2015-04-15,3531
99,Guinea,9.93543,-9.695052,cases,2015-04-16,3538
100,Guinea,9.93543,-9.695052,cases,2015-04-17,3540
101,Guinea,9.93543,-9.695052,cases,2015-04-20,3548
102,Guinea,9.93543,-9.695052,cases,2015-04-21,3551
103,Guinea,9.93543,-9.695052,cases,2015-04-22,3551
104,Guinea,9.93543,-9.695052,cases,2015-04-23,3559
105,Guinea,9.93543,-9.695052,cases,2015-04-24,3560
106,Guinea,9.93543,-9.695052,cases,2015-04-27,3569
107,Guinea,9.93543,-9.695052,cases,2015-04-28,3573
108,Guinea,9.93543,-9.695052,cases,2015-04-30,3574
109,Guinea,9.93543,-9.695052,cases,2015-05-01,3576
110,Guinea,9.93543,-9.695052,cases,2015-05-04,3578
111,Guinea,9.93543,-9.695052,cases,2015-05-05,3582
112,Guinea,9.93543,-9.695052,cases,2015-05-06,3582
113,Guinea,9.93543,-9.695052,cases,2015-05-07,3585
114,Guinea,9.93543,-9.695052,cases,2015-05-08,3585
115,Guinea,9.93543,-9.695052,cases,2015-05-11,3588
116,Guinea,9.93543,-9.695052,cases,2015-05-12,3589
117,Guinea,9.93543,-9.695052,cases,2015-05-13,3588
118,Guinea,9.93543,-9.695052,cases,2015-05-14,3606
119,Guinea,9.93543,-9.695052,cases,2015-05-15,3608
120,Guinea,9.93543,-9.695052,cases,2015-05-18,3614
121,Guinea,9.93543,-9.695052,cases,2015-05-19,3620
122,Guinea,9.93543,-9.695052,cases,2015-05-20,3616
123,Guinea,9.93543,-9.695052,cases,2015-05-21,3623
124,Guinea,9.93543,-9.695052,cases,2015-05-22,3624
125,Guinea,9.93543,-9.695052,cases,2015-05-25,3627
126,Guinea,9.93543,-9.695052,cases,2015-05-26,3629
127,Guinea,9.93543,-9.695052,cases,2015-05-27,3629
128,Guinea,9.93543,-9.695052,cases,2015-05-28,3633
129,Guinea,9.93543,-9.695052,cases,2015-05-29,3635
130,Guinea,9.93543,-9.695052,cases,2015-06-01,3639
131,Guinea,9.93543,-9.695052,cases,2015-06-02,3642
132,Guinea,9.93543,-9.695052,cases,2015-06-03,3642
133,Guinea,9.93543,-9.695052,cases,2015-06-04,3646
134,Guinea,9.93543,-9.695052,cases,2015-06-05,3647
135,Guinea,9.93543,-9.695052,cases,2015-06-08,3656
136,Guinea,9.93543,-9.695052,cases,2015-06-09,3658
137,Guinea,9.93543,-9.695052,cases,2015-06-10,3658
138,Guinea,9.93543,-9.695052,cases,2015-06-11,3662
139,Guinea,9.93543,-9.695052,cases,2015-06-12,3662
140,Guinea,9.93543,-9.695052,cases,2015-06-15,3668
141,Guinea,9.93543,-9.695052,cases,2015-06-16,3668
142,Guinea,9.93543,-9.695052,cases,2015-06-17,3664
143,Guinea,9.93543,-9.695052,cases,2015-06-18,3665
144,Guinea,9.93543,-9.695052,cases,2015-06-19,3666
145,Guinea,9.93543,-9.695052,cases,2015-06-22,3682
146,Guinea,9.93543,-9.695052,cases,2015-06-23,3700
147,Guinea,9.93543,-9.695052,cases,2015-06-24,3700
148,Guinea,9.93543,-9.695052,cases,2015-06-25,3707
149,Guinea,9.93543,-9.695052,cases,2015-06-26,3709
150,Guinea,9.93543,-9.695052,cases,2015-06-29,3711
151,Guinea,9.93543,-9.695052,cases,2015-06-30,3712
152,Guinea,9.93543,-9.695052,cases,2015-07-01,3712
153,Guinea,9.93543,-9.695052,cases,2015-07-02,3727
154,Guinea,9.93543,-9.695052,cases,2015-07-03,3729
155,Guinea,9.93543,-9.695052,cases,2015-07-06,3737
156,Guinea,9.93543,-9.695052,cases,2015-07-07,3737
157,Guinea,9.93543,-9.695052,cases,2015-07-08,3737
158,Guinea,9.93543,-9.695052,cases,2015-07-09,3740
159,Guinea,9.93543,-9.695052,cases,2015-07-10,3743
160,Guinea,9.93543,-9.695052,cases,2015-07-13,3749
161,Guinea,9.93543,-9.695052,cases,2015-07-14,3750
162,Guinea,9.93543,-9.695052,cases,2015-07-15,3750
163,Guinea,9.93543,-9.695052,cases,2015-07-16,3754
164,Guinea,9.93543,-9.695052,cases,2015-07-17,3760
165,Guinea,9.93543,-9.695052,cases,2015-07-20,3772
166,Guinea,9.93543,-9.695052,cases,2015-07-21,3772
167,Guinea,9.93543,-9.695052,cases,2015-07-22,3772
168,Guinea,9.93543,-9.695052,cases,2015-07-23,3775
169,Guinea,9.93543,-9.695052,cases,2015-07-24,3776
170,Guinea,9.93543,-9.695052,cases,2015-07-27,3776
171,Guinea,9.93543,-9.695052,cases,2015-07-28,3777
172,Guinea,9.93543,-9.695052,cases,2015-07-29,3777
173,Guinea,9.93543,-9.695052,cases,2015-07-30,3778
174,Guinea,9.93543,-9.695052,cases,2015-07-31,3778
175,Guinea,9.93543,-9.695052,cases,2015-08-03,3779
176,Guinea,9.93543,-9.695052,cases,2015-08-04,3779
177,Guinea,9.93543,-9.695052,cases,2015-08-05,3779
178,Guinea,9.93543,-9.695052,cases,2015-08-06,3781
179,Guinea,9.93543,-9.695052,cases,2015-08-07,3781
180,Guinea,9.93543,-9.695052,cases,2015-08-10,3781
181,Guinea,9.93543,-9.695052,cases,2015-08-11,3781
182,Guinea,9.93543,-9.695052,cases,2015-08-12,3781
183,Guinea,9.93543,-9.695052,cases,2015-08-13,3782
184,Guinea,9.93543,-9.695052,cases,2015-08-14,3782
185,Guinea,9.93543,-9.695052,cases,2015-08-17,3784
186,Guinea,9.93543,-9.695052,cases,2015-08-18,3784
187,Guinea,9.93543,-9.695052,cases,2015-08-19,3784
188,Guinea,9.93543,-9.695052,cases,2015-08-20,3786
189,Guinea,9.93543,-9.695052,cases,2015-08-21,3786
190,Guinea,9.93543,-9.695052,cases,2015-08-24,3786
191,Guinea,9.93543,-9.695052,cases,2015-08-25,3787
