Country,Lat,long,1990,1991,1992,1993,1994,1995,1996,1997,1998,Footnotes,Type,1999,Footnotes,Type,2000,Footnotes,Type,2001,Footnotes,Type,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,33.93911,67.709953,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,E,0.02,,E,0.02,,E,0.02,,E,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03
Albania,41.153332,20.168331,0,0,0,0,0,0,0,0,0,,E,0,,E,0,,E,0,,E,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0.04
Algeria,28.033886,1.659626,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.05,,E,0.06,,E,0.06,,E,0.06,,E,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09,0.1,0.1,0.1
Angola,-11.202692,17.873887,0.23,0.38,0.54,0.72,0.91,1.1,1.29,1.48,1.58,,E,1.66,,E,1.73,,E,1.78,,E,1.83,1.87,1.89,1.92,1.94,1.98,2.03,2.08,2.15,2.22,2.29,2.35
Argentina,-38.416097,-63.616672,0,0,0,0,0,0,0,0,0,,E,0,,E,0,,E,0,,E,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,40.069099,45.038189,0,0,0,0,0,0.01,0.02,0.03,0.04,,E,0.06,,E,0.07,,E,0.09,,E,0.09,0.1,0.11,0.12,0.12,0.13,0.14,0.15,0.15,0.16,0.18,0.19
Australia,-25.274398,133.775136,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.14,,E,0.14,,E,0.14,,E,0.14,,E,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.17,0.17,0.17,0.17
Austria,47.516231,14.550072,0,0,0,0,0,0,0,0,0,,E,0,,E,0,,E,0,,E,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,40.143105,47.576927,0,0,0,0,0,0,0.01,0.01,0.02,,E,0.03,,E,0.04,,E,0.05,,E,0.06,0.07,0.08,0.09,0.1,0.1,0.11,0.12,0.13,0.14,0.15,0.16
Bahamas,25.03428,-77.39628,1.96,2.21,2.47,2.7,2.92,3.1,3.24,3.35,3.42,,E,3.46,,E,3.48,,E,3.48,,E,3.47,3.45,3.44,3.44,3.45,3.45,3.45,3.44,3.42,3.38,3.31,3.22
Bangladesh,23.684994,90.356331,0,0,0,0,0,0,0,0,0,,E,0,,E,0,,E,0,,E,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
